,Nome,Sobrenome,Nacionalidade,Posição, Clube,Liga,Idade,Ano em que nasceu,Jogos em que entrou,Jogos Iniciados,Minutos jogados,90 min jogados,Gols,Assist,G+A,Gols Normais,Penâltis Batidos,Penâltis Tentados,Cartões Amarelos,Cartões Vermelhos,Gols esperados,Gols normais previstos,Gols Assistidos Esperados,"Gols esperados,exceto pênaltis,+gols assistidos",Carregada Progressiva,Passes Progressivos,Passes Progressivos Recebidos,Gols/90min,Assis/90min,(Gols+Assis)/90min,Gols Normais/90min,(Gols normais+Assis)/90min,Gols previstos por 90min,Gols Assistidos esperados em 90min, Gols esperados+gols previstos em 90min,Gols normais previstos em 90min,"Gols esperados,exceto pênaltis,+gols assistidos em 90min"
367,David,Brooks,s WAL,"AT,ZG",Bournemouth,Premier League,25,1997,3,0,32,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,"0,0",0,0,1,"0,00","0,00","0,00","0,00","0,00","0,11","0,00","0,11","0,11","0,11"
368,John,Brooks, USA,ZG,Hoffenheim, Bundesliga,30,1993,12,12,1.080,12.0,0,0,0,0,0,0,4,0,0.1,0.1,0.0,"0,1",2,36,1,"0,00","0,00","0,00","0,00","0,00","0,01","0,00","0,01","0,01","0,01"
369,Moritz,Broschinski, GER,"AT,LT",Bochum, Bundesliga,22,2000,9,0,186,2.1,2,0,2,2,0,0,1,0,1.2,1.2,0.0,"1,2",6,2,14,"0,97","0,00","0,97","0,97","0,97","0,56","0,02","0,58","0,56","0,58"
370,Marcelo,Brozović, CRO,LT,Inter, Serie A,30,1992,24,16,1.468,16.3,2,3,5,2,0,0,7,0,2.3,2.3,1.3,"3,6",23,98,27,"0,12","0,18","0,31","0,12","0,31","0,14","0,08","0,22","0,14","0,22"
371,Cédric,Brunner, SUI,ZG,Schalke 04, Bundesliga,29,1994,25,25,2.090,23.2,0,0,0,0,0,0,3,0,0.2,0.2,1.4,"1,6",27,71,20,"0,00","0,00","0,00","0,00","0,00","0,01","0,06","0,07","0,01","0,07"
372,Lewis,Brunt,ENG,ZG,Leicester City,Premier League,22,2000,1,0,23,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,"0,0",0,0,2,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
373,Jacob,Bruun Larsen, DEN,AT,Hoffenheim, Bundesliga,24,1998,11,3,294,3.3,1,0,1,1,0,0,0,0,1.2,1.2,0.3,"1,5",9,4,23,"0,31","0,00","0,31","0,31","0,31","0,38","0,10","0,47","0,38","0,47"
374,Andreas,Bruus, DEN,"ZG,AT",Troyes, Ligue 1,24,1999,23,17,1.519,16.9,0,2,2,0,0,0,2,0,0.5,0.5,1.7,"2,2",44,40,112,"0,00","0,12","0,12","0,00","0,12","0,03","0,10","0,13","0,03","0,13"
375,Joe,Bryan,ENG,"LT,ZG",Nice, Ligue 1,29,1993,6,2,177,2.0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,"0,1",2,8,16,"0,00","0,00","0,00","0,00","0,00","0,01","0,02","0,04","0,01","0,04"
376,Lee,Buchanan,ENG,"ZG,AT",Werder Bremen, Bundesliga,22,2001,19,1,382,4.2,1,0,1,1,0,0,1,0,0.3,0.3,0.5,"0,8",10,21,19,"0,24","0,00","0,24","0,24","0,24","0,07","0,13","0,20","0,07","0,20"
377,Ante,Budimir, CRO,AT,Osasuna, La Liga,31,1991,27,18,1.515,16.8,4,0,4,4,0,0,3,0,5.2,5.2,0.6,"5,8",18,19,92,"0,24","0,00","0,24","0,24","0,24","0,31","0,04","0,34","0,31","0,34"
378,Emi,Buendía, ARG,"LT,AT",Aston Villa,Premier League,26,1996,35,26,2.297,25.5,5,2,7,5,0,0,0,0,6.1,6.1,5.3,"11,4",57,133,128,"0,20","0,08","0,27","0,20","0,27","0,24","0,21","0,45","0,24","0,45"
379,Hugo,Bueno, ESP,ZG,Wolves,Premier League,20,2002,19,15,1.236,13.7,0,1,1,0,0,0,1,0,0.2,0.2,1.1,"1,3",50,38,60,"0,00","0,07","0,07","0,00","0,07","0,01","0,08","0,10","0,01","0,10"
380,Santiago,Bueno, URU,ZG,Girona, La Liga,24,1998,31,31,2.777,30.9,0,1,1,0,0,0,7,1,1.2,1.2,1.1,"2,4",26,136,4,"0,00","0,03","0,03","0,00","0,03","0,04","0,04","0,08","0,04","0,08"
381,Adam,Buksa, POL,"AT,LT",Lens, Ligue 1,26,1996,6,0,66,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,"0,0",0,1,7,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
382,Marius,Bülter, GER,"AT,LT",Schalke 04, Bundesliga,30,1993,31,28,2.445,27.2,11,1,12,7,4,4,4,0,8.6,5.7,4.3,"10,0",70,78,187,"0,40","0,04","0,44","0,26","0,29","0,32","0,16","0,48","0,21","0,37"
383,Cristian,Buonaiuto, ITA,"LT,AT",Cremonese, Serie A,30,1992,25,6,834,9.3,0,0,0,0,0,0,2,0,2.1,2.1,1.7,"3,8",28,33,75,"0,00","0,00","0,00","0,00","0,00","0,22","0,19","0,41","0,22","0,41"
384,Facundo,Buonanotte, ARG,"AT,LT",Brighton,Premier League,18,2004,8,3,287,3.2,1,1,2,1,0,0,0,0,1.0,1.0,0.5,"1,5",6,5,20,"0,31","0,31","0,63","0,31","0,63","0,33","0,15","0,47","0,33","0,47"
385,Alessandro,Buongiorno, ITA,ZG,Torino, Serie A,23,1999,30,26,2.361,26.2,1,1,2,1,0,0,8,0,2.1,2.1,1.1,"3,1",11,70,16,"0,04","0,04","0,08","0,04","0,08","0,08","0,04","0,12","0,08","0,12"
386,Delano,Burgzorg, NED,"AT,LT",Mainz 05, Bundesliga,24,1998,12,0,213,2.4,0,1,1,0,0,0,2,0,0.2,0.2,0.1,"0,2",1,3,21,"0,00","0,42","0,42","0,00","0,42","0,06","0,02","0,09","0,06","0,09"
387,Jonathan,Burkardt, GER,"LT,AT",Mainz 05, Bundesliga,22,2000,11,7,533,5.9,1,2,3,1,0,1,2,0,3.0,2.2,1.1,"3,3",9,14,46,"0,17","0,34","0,51","0,17","0,51","0,50","0,18","0,68","0,37","0,55"
388,Oliver,Burke,t SCO,"AT,LT",Werder Bremen, Bundesliga,26,1997,15,1,268,3.0,2,0,2,2,0,0,0,0,1.0,1.0,0.3,"1,3",11,7,36,"0,67","0,00","0,67","0,67","0,67","0,35","0,09","0,44","0,35","0,44"
389,Dan,Burn,ENG,ZG,Newcastle Utd,Premier League,31,1992,34,32,2.825,31.4,0,0,0,0,0,0,5,0,1.4,1.4,1.2,"2,6",24,102,40,"0,00","0,00","0,00","0,00","0,00","0,04","0,04","0,08","0,04","0,08"
390,Maxime,Busi, BEL,ZG,Reims, Ligue 1,23,1999,17,8,767,8.5,0,1,1,0,0,0,4,0,0.1,0.1,0.5,"0,6",17,36,28,"0,00","0,12","0,12","0,00","0,12","0,01","0,06","0,06","0,01","0,06"
391,Sergio,Busquets, ESP,LT,Barcelona, La Liga,34,1988,27,25,2.082,23.1,0,4,4,0,0,0,7,1,0.3,0.3,2.8,"3,0",23,219,30,"0,00","0,17","0,17","0,00","0,17","0,01","0,12","0,13","0,01","0,13"
392,Aurélio,Buta, POR,ZG,Eint Frankfurt, Bundesliga,26,1997,15,12,1.073,11.9,2,2,4,2,0,0,1,0,0.5,0.5,2.5,"3,0",37,42,98,"0,17","0,17","0,34","0,17","0,34","0,04","0,21","0,25","0,04","0,25"
393,Marcin,Bułka, POL,G,Nice, Ligue 1,23,1999,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,"0,0",0,0,0,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
394,Jamie,Bynoe-Gittens,ENG,"AT,LT",Dortmund, Bundesliga,18,2004,15,4,533,5.9,3,1,4,3,0,0,1,0,2.4,2.4,0.7,"3,1",24,9,38,"0,51","0,17","0,68","0,51","0,68","0,41","0,12","0,53","0,41","0,53"
395,Juan,Cabal, COL,ZG,Hellas Verona, Serie A,22,2001,7,0,181,2.0,0,0,0,0,0,0,1,0,0.0,0.0,0.3,"0,3",2,12,5,"0,00","0,00","0,00","0,00","0,00","0,00","0,15","0,15","0,00","0,15"
396,Rémy,Cabella, FRA,"LT,AT",Lille, Ligue 1,33,1990,28,25,2.233,24.8,7,9,16,7,0,0,3,0,8.1,8.1,9.6,"17,7",95,207,212,"0,28","0,36","0,64","0,28","0,64","0,33","0,39","0,71","0,33","0,71"
397,Jimmy,Cabot, FRA,"ZG,LT",Lens, Ligue 1,29,1994,11,5,511,5.7,0,1,1,0,0,0,2,0,0.3,0.3,2.1,"2,4",26,29,65,"0,00","0,18","0,18","0,00","0,18","0,05","0,37","0,43","0,05","0,43"
398,Leandro,Cabrera, URU,ZG,Espanyol, La Liga,31,1991,28,27,2.309,25.7,0,0,0,0,0,0,9,2,2.1,2.1,1.1,"3,2",12,77,5,"0,00","0,00","0,00","0,00","0,00","0,08","0,04","0,12","0,08","0,12"
399,Liberato,Cacace, NZL,ZG,Empoli, Serie A,22,2000,10,3,407,4.5,0,0,0,0,0,0,1,0,0.2,0.2,0.2,"0,4",20,32,25,"0,00","0,00","0,00","0,00","0,00","0,04","0,05","0,09","0,04","0,09"
400,Anthony,Caci, FRA,ZG,Mainz 05, Bundesliga,25,1997,28,21,1.832,20.4,2,1,3,2,0,0,4,0,0.6,0.6,2.1,"2,8",18,81,41,"0,10","0,05","0,15","0,10","0,15","0,03","0,10","0,14","0,03","0,14"
401,Moisés,Caicedo, ECU,LT,Brighton,Premier League,21,2001,32,30,2.734,30.4,1,1,2,1,0,0,9,0,1.6,1.6,2.5,"4,1",30,194,51,"0,03","0,03","0,07","0,03","0,07","0,05","0,08","0,13","0,05","0,13"
402,Tom,Cairney,t SCO,LT,Fulham,Premier League,32,1991,30,3,762,8.5,2,0,2,2,0,0,2,0,1.0,1.0,1.2,"2,2",29,74,44,"0,24","0,00","0,24","0,24","0,24","0,11","0,15","0,26","0,11","0,26"
403,Jens,Cajuste, SWE,LT,Reims, Ligue 1,23,1999,27,11,1.249,13.9,3,1,4,3,0,0,8,1,1.3,1.3,1.0,"2,3",36,89,32,"0,22","0,07","0,29","0,22","0,29","0,09","0,07","0,16","0,09","0,16"
404,Davide,Calabria, ITA,ZG,Milan, Serie A,26,1996,21,18,1.425,15.8,1,3,4,1,0,0,6,0,1.1,1.1,1.3,"2,4",25,82,69,"0,06","0,19","0,25","0,06","0,25","0,07","0,08","0,15","0,07","0,15"
405,Mattia,Caldara, ITA,ZG,Spezia, Serie A,29,1994,20,13,1.253,13.9,0,0,0,0,0,0,6,0,0.8,0.8,0.0,"0,8",5,35,4,"0,00","0,00","0,00","0,00","0,00","0,06","0,00","0,06","0,06","0,06"
406,Luca,Caldirola, ITA,ZG,Monza, Serie A,32,1991,28,24,2.120,23.6,2,0,2,2,0,0,4,0,1.1,1.1,0.5,"1,6",12,58,13,"0,08","0,00","0,08","0,08","0,08","0,05","0,02","0,07","0,05","0,07"
407,Fernando,Calero, ESP,"ZG,LT",Espanyol, La Liga,27,1995,22,17,1.409,15.7,0,0,0,0,0,0,6,0,0.6,0.6,0.1,"0,8",6,53,3,"0,00","0,00","0,00","0,00","0,00","0,04","0,01","0,05","0,04","0,05"
408,Duje,Ćaleta-Car, CRO,ZG,Southampton,Premier League,26,1996,13,9,946,10.5,1,0,1,1,0,0,2,0,0.8,0.8,0.0,"0,8",5,33,0,"0,10","0,00","0,10","0,10","0,10","0,08","0,00","0,08","0,08","0,08"
409,Duje,Ćaleta-Car, CRO,ZG,Marseille, Ligue 1,26,1996,1,0,8,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,"0,0",0,0,0,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
410,Hakan,Çalhanoğlu, TUR,LT,Inter, Serie A,29,1994,31,26,2.220,24.7,3,6,9,2,1,1,2,0,3.0,2.2,4.8,"7,0",44,169,66,"0,12","0,24","0,36","0,08","0,32","0,12","0,19","0,32","0,09","0,28"
411,Kerim,Calhanoglu, GER,ZG,Schalke 04, Bundesliga,20,2002,3,0,63,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.2,"0,2",3,3,3,"0,00","0,00","0,00","0,00","0,00","0,04","0,23","0,27","0,04","0,27"
412,Daniel,Caligiuri, ITA,"ZG,LT",Augsburg, Bundesliga,35,1988,13,2,290,3.2,1,0,1,1,0,0,1,0,0.4,0.4,0.4,"0,8",7,16,8,"0,31","0,00","0,31","0,31","0,31","0,12","0,12","0,24","0,12","0,24"
413,Alexander,Callens, PER,ZG,Girona, La Liga,31,1992,4,0,82,0.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,"0,0",3,6,1,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
414,Dominic,Calvert-Lewin,ENG,AT,Everton,Premier League,26,1997,15,13,1.076,12.0,2,1,3,1,1,1,3,0,5.4,4.6,0.8,"5,4",13,14,50,"0,17","0,08","0,25","0,08","0,17","0,45","0,07","0,52","0,39","0,45"
415,Mahdi,Camara, FRA,LT,Brest, Ligue 1,24,1998,27,20,1.722,19.1,1,0,1,1,0,0,3,1,1.7,1.7,0.4,"2,1",31,74,42,"0,05","0,00","0,05","0,05","0,05","0,09","0,02","0,11","0,09","0,11"
416,Mohamed,Camara, GUI,LT,Roma, Serie A,26,1997,13,6,533,5.9,0,0,0,0,0,0,2,0,0.6,0.6,0.4,"0,9",12,23,12,"0,00","0,00","0,00","0,00","0,00","0,09","0,06","0,15","0,09","0,15"
417,Mohamed,Camara, MLI,LT,Monaco, Ligue 1,23,2000,26,23,2.015,22.4,0,3,3,0,0,0,6,1,0.9,0.9,1.9,"2,8",26,116,17,"0,00","0,13","0,13","0,00","0,13","0,04","0,09","0,13","0,04","0,13"
418,Ousmane,Camara, GUI,"AT,LT",Auxerre, Ligue 1,21,2001,3,0,24,0.3,0,0,0,0,0,0,1,0,0.1,0.1,0.2,"0,3",2,2,1,"0,00","0,00","0,00","0,00","0,00","0,19","0,83","1,01","0,19","1,01"
419,Ousmane,Camara, FRA,ZG,Angers, Ligue 1,20,2003,9,6,521,5.8,0,0,0,0,0,0,2,0,0.2,0.2,0.0,"0,2",3,16,0,"0,00","0,00","0,00","0,00","0,00","0,03","0,00","0,03","0,03","0,03"
420,Eduardo,Camavinga, FRA,"LT,ZG",Real Madrid, La Liga,20,2002,32,17,1.698,18.9,0,1,1,0,0,0,5,0,0.7,0.7,1.4,"2,1",57,141,81,"0,00","0,05","0,05","0,00","0,05","0,04","0,07","0,11","0,04","0,11"
421,Nicolò,Cambiaghi, ITA,"AT,LT",Empoli, Serie A,22,2000,24,8,948,10.5,6,1,7,6,0,0,2,0,3.0,3.0,0.5,"3,5",48,37,77,"0,57","0,09","0,66","0,57","0,66","0,28","0,05","0,33","0,28","0,33"
422,Andrea,Cambiaso, ITA,ZG,Bologna, Serie A,23,2000,28,21,1.810,20.1,0,3,3,0,0,0,2,0,0.8,0.8,1.9,"2,7",58,66,87,"0,00","0,15","0,15","0,00","0,15","0,04","0,09","0,14","0,04","0,14"
423,Axel,Camblan, FRA,"AT,LT",Brest, Ligue 1,19,2003,7,0,68,0.8,0,0,0,0,0,0,0,0,0.2,0.2,0.1,"0,3",2,4,9,"0,00","0,00","0,00","0,00","0,00","0,22","0,17","0,39","0,22","0,39"
424,Sergio,Camello, ESP,AT,Rayo Vallecano, La Liga,22,2001,33,26,2.240,24.9,6,5,11,6,0,0,1,0,7.0,7.0,2.3,"9,3",36,37,115,"0,24","0,20","0,44","0,24","0,44","0,28","0,09","0,37","0,28","0,37"
425,Chem,Campbell,s WAL,"AT,LT",Wolves,Premier League,20,2002,5,0,74,0.8,0,0,0,0,0,0,0,0,0.1,0.1,0.0,"0,1",2,4,10,"0,00","0,00","0,00","0,00","0,00","0,12","0,00","0,12","0,12","0,12"
426,Emre,Can, GER,LT,Dortmund, Bundesliga,29,1994,24,17,1.630,18.1,2,1,3,1,1,1,7,0,1.3,0.5,0.7,"1,2",23,75,9,"0,11","0,06","0,17","0,06","0,11","0,07","0,04","0,11","0,03","0,06"
427,Sergio,Canales, ESP,"AT,LT",Betis, La Liga,32,1991,26,23,1.975,21.9,4,2,6,3,1,1,4,2,4.2,3.4,4.7,"8,1",68,120,117,"0,18","0,09","0,27","0,14","0,23","0,19","0,21","0,40","0,16","0,37"
428,Matteo,Cancellieri, ITA,AT,Lazio, Serie A,21,2002,20,1,256,2.8,0,0,0,0,0,0,4,0,0.4,0.4,0.4,"0,8",15,2,33,"0,00","0,00","0,00","0,00","0,00","0,14","0,14","0,28","0,14","0,28"
429,João,Cancelo, POR,ZG,Manchester City,Premier League,28,1994,17,16,1.274,14.2,2,1,3,2,0,0,3,1,0.8,0.8,0.9,"1,7",72,106,125,"0,14","0,07","0,21","0,14","0,21","0,06","0,06","0,12","0,06","0,12"
430,João,Cancelo, POR,"ZG,AT",Bayern Munich, Bundesliga,28,1994,12,9,808,9.0,1,3,4,1,0,0,3,0,0.7,0.7,1.8,"2,4",42,54,75,"0,11","0,33","0,45","0,11","0,45","0,07","0,20","0,27","0,07","0,27"
431,Antonio,Candreva, ITA,"ZG,LT",Salernitana, Serie A,36,1987,31,29,2.458,27.3,4,3,7,4,0,0,3,1,3.1,3.1,4.3,"7,4",67,123,151,"0,15","0,11","0,26","0,15","0,26","0,11","0,16","0,27","0,11","0,27"
432,Thomas,Cannon, IRL,AT,Everton,Premier League,20,2002,2,0,25,0.3,0,0,0,0,0,0,0,0,0.1,0.1,0.5,"0,6",1,0,2,"0,00","0,00","0,00","0,00","0,00","0,32","1,95","2,27","0,32","2,27"
433,Sergi,Canós, ESP,"AT,ZG",Brentford,Premier League,26,1997,5,0,77,0.9,0,0,0,0,0,0,0,0,0.1,0.1,0.0,"0,1",4,2,7,"0,00","0,00","0,00","0,00","0,00","0,09","0,03","0,11","0,09","0,11"
434,Ander,Capa, ESP,ZG,Athletic Club, La Liga,31,1992,7,1,109,1.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,"0,0",5,12,7,"0,00","0,00","0,00","0,00","0,00","0,00","0,04","0,04","0,00","0,04"
435,Pierrick,Capelle, FRA,"LT,ZG",Angers, Ligue 1,36,1987,23,14,1.280,14.2,0,2,2,0,0,0,8,0,1.3,1.3,1.0,"2,2",15,61,34,"0,00","0,14","0,14","0,00","0,14","0,09","0,07","0,16","0,09","0,16"
436,Étienne,Capoue, FRA,LT,Villarreal, La Liga,34,1988,24,19,1.699,18.9,3,0,3,3,0,0,2,0,2.5,2.5,0.9,"3,4",40,84,58,"0,16","0,00","0,16","0,16","0,16","0,13","0,05","0,18","0,13","0,18"
437,Gianluca,Caprari, ITA,"LT,AT",Monza, Serie A,29,1993,33,28,2.180,24.2,5,2,7,4,1,1,6,0,4.9,4.1,2.0,"6,1",93,75,170,"0,21","0,08","0,29","0,17","0,25","0,20","0,08","0,28","0,17","0,25"
438,Francesco,Caputo, ITA,AT,Sampdoria, Serie A,35,1987,15,13,1.094,12.2,1,0,1,1,0,0,0,0,1.9,1.9,0.5,"2,4",6,11,76,"0,08","0,00","0,08","0,08","0,08","0,15","0,04","0,19","0,15","0,19"
439,Francesco,Caputo, ITA,AT,Empoli, Serie A,35,1987,19,18,1.532,17.0,3,4,7,2,1,1,1,0,5.4,4.6,1.5,"6,1",16,19,113,"0,18","0,23","0,41","0,12","0,35","0,32","0,09","0,40","0,27","0,36"
440,Maxence,Caqueret, FRA,LT,Lyon, Ligue 1,23,2000,32,28,2.429,27.0,2,7,9,2,0,0,2,0,2.2,2.2,4.6,"6,8",37,155,113,"0,07","0,26","0,33","0,07","0,33","0,08","0,17","0,25","0,08","0,25"
441,Andrea,Carboni, ITA,ZG,Monza, Serie A,22,2001,4,1,167,1.9,0,0,0,0,0,0,0,0,0.1,0.1,0.1,"0,2",4,9,2,"0,00","0,00","0,00","0,00","0,00","0,03","0,07","0,10","0,03","0,10"
442,Franco,Carboni, ITA,ZG,Monza, Serie A,20,2003,2,0,58,0.6,0,0,0,0,0,0,0,0,0.1,0.1,0.0,"0,1",6,2,8,"0,00","0,00","0,00","0,00","0,00","0,12","0,07","0,19","0,12","0,19"
443,Valentin,Carboni, ITA,"LT,ZG",Inter, Serie A,18,2005,5,0,25,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,"0,0",2,1,3,"0,00","0,00","0,00","0,00","0,00","0,00","0,09","0,09","0,00","0,09"
444,Isaac,Carcelen, ESP,ZG,Cádiz, La Liga,30,1993,22,20,1.776,19.7,0,1,1,0,0,0,3,3,0.2,0.2,1.2,"1,3",30,66,42,"0,00","0,05","0,05","0,00","0,05","0,01","0,06","0,07","0,01","0,07"
445,Irvin,Cardona, FRA,"AT,LT",Brest, Ligue 1,25,1997,10,1,233,2.6,0,0,0,0,0,0,0,0,0.2,0.2,0.3,"0,5",3,4,14,"0,00","0,00","0,00","0,00","0,00","0,08","0,12","0,20","0,08","0,20"
446,Irvin,Cardona, FRA,"LT,AT",Augsburg, Bundesliga,25,1997,8,0,266,3.0,1,0,1,1,0,0,2,0,1.7,1.7,0.1,"1,8",9,3,13,"0,34","0,00","0,34","0,34","0,34","0,58","0,03","0,61","0,58","0,61"
447,Igor,Carioca, BRA,ZG,Lorient, Ligue 1,26,1996,7,5,456,5.1,0,0,0,0,0,0,2,1,0.2,0.2,0.5,"0,7",8,22,23,"0,00","0,00","0,00","0,00","0,00","0,04","0,10","0,14","0,04","0,14"
448,Diego,Carlos, BRA,ZG,Aston Villa,Premier League,30,1993,3,2,205,2.3,0,0,0,0,0,0,0,0,0.4,0.4,0.0,"0,4",1,11,0,"0,00","0,00","0,00","0,00","0,00","0,16","0,02","0,18","0,16","0,18"
449,Juan,Carlos, ESP,G,Girona, La Liga,35,1988,10,10,900,10.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,"0,0",0,0,0,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
450,José,Carlos Lazo, ESP,"LT,AT",Almería, La Liga,27,1996,1,0,20,0.2,0,0,0,0,0,0,0,0,0.1,0.1,0.0,"0,1",0,0,3,"0,00","0,00","0,00","0,00","0,00","0,27","0,00","0,27","0,27","0,27"
451,José,Carlos Lazo, ESP,"LT,AT",Espanyol, La Liga,27,1996,10,0,159,1.8,1,1,2,1,0,0,0,0,0.2,0.2,0.2,"0,5",2,4,10,"0,57","0,57","1,13","0,57","1,13","0,13","0,13","0,26","0,13","0,26"
452,Marco,Carnesecchi, ITA,G,Cremonese, Serie A,22,2000,25,25,2.250,25.0,0,1,1,0,0,0,1,0,0.0,0.0,0.2,"0,2",0,0,0,"0,00","0,04","0,04","0,00","0,04","0,00","0,01","0,01","0,00","0,01"
453,Yannick,Carrasco, BEL,"ZG,LT",Atlético Madrid, La Liga,29,1993,31,22,1.966,21.8,5,3,8,4,1,1,2,0,6.8,6.0,3.5,"9,5",122,77,220,"0,23","0,14","0,37","0,18","0,32","0,31","0,16","0,47","0,27","0,43"
454,Dani,Carvajal, ESP,ZG,Real Madrid, La Liga,31,1992,24,18,1.599,17.8,0,2,2,0,0,0,6,1,0.3,0.3,2.0,"2,3",18,52,119,"0,00","0,11","0,11","0,00","0,11","0,02","0,11","0,13","0,02","0,13"
455,Fabio,Carvalho, POR,"LT,AT",Liverpool,Premier League,20,2002,12,4,340,3.8,2,0,2,2,0,0,0,0,1.1,1.1,0.1,"1,2",7,11,26,"0,53","0,00","0,53","0,53","0,53","0,29","0,03","0,32","0,29","0,32"
456,Matis,Carvalho, POR,G,Montpellier, Ligue 1,24,1999,2,1,136,1.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,"0,0",0,0,0,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
457,William,Carvalho, POR,LT,Betis, La Liga,31,1992,29,27,2.169,24.1,3,1,4,3,0,0,6,1,2.6,2.6,1.5,"4,1",42,186,51,"0,12","0,04","0,17","0,12","0,17","0,11","0,06","0,17","0,11","0,17"
458,Nicolò,Casale, ITA,ZG,Lazio, Serie A,25,1998,25,24,2.147,23.9,1,1,2,1,0,0,6,0,0.6,0.6,0.3,"0,9",9,60,3,"0,04","0,04","0,08","0,04","0,08","0,03","0,01","0,04","0,03","0,04"
459,Matty,Cash, POL,ZG,Aston Villa,Premier League,25,1997,23,18,1.639,18.2,0,1,1,0,0,0,3,0,0.2,0.2,0.7,"0,9",41,74,56,"0,00","0,05","0,05","0,00","0,05","0,01","0,04","0,05","0,01","0,05"
460,Tommaso,Cassandro, ITA,ZG,Lecce, Serie A,23,2000,1,0,13,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,"0,0",0,0,0,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
461,Timothy,Castagne, BEL,ZG,Leicester City,Premier League,27,1995,34,33,2.985,33.2,2,3,5,2,0,0,3,0,2.1,2.1,2.6,"4,7",39,103,147,"0,06","0,09","0,15","0,06","0,15","0,06","0,08","0,14","0,06","0,14"
462,Michele,Castagnetti, ITA,LT,Cremonese, Serie A,33,1989,23,13,1.223,13.6,0,1,1,0,0,0,2,0,0.5,0.5,1.6,"2,1",12,102,9,"0,00","0,07","0,07","0,00","0,07","0,04","0,12","0,15","0,04","0,15"
463,Koen,Casteels, BEL,G,Wolfsburg, Bundesliga,30,1992,31,31,2.790,31.0,0,1,1,0,0,0,0,0,0.0,0.0,0.0,"0,0",0,2,0,"0,00","0,03","0,03","0,00","0,03","0,00","0,00","0,00","0,00","0,00"
464,Valentín,Castellanos, ARG,AT,Girona, La Liga,24,1998,31,30,2.368,26.3,13,0,13,12,1,1,11,0,10.2,9.5,1.3,"10,7",29,32,118,"0,49","0,00","0,49","0,46","0,46","0,39","0,05","0,44","0,36","0,41"
465,Jean-Charles,Castelletto, CMR,ZG,Nantes, Ligue 1,28,1995,28,26,2.208,24.5,0,0,0,0,0,0,2,0,0.7,0.7,0.4,"1,2",17,105,18,"0,00","0,00","0,00","0,00","0,00","0,03","0,02","0,05","0,03","0,05"
466,Samu,Castillejo, ESP,"AT,LT",Valencia, La Liga,28,1995,24,17,1.337,14.9,4,0,4,4,0,0,7,0,2.9,2.9,3.0,"5,9",52,75,115,"0,27","0,00","0,27","0,27","0,27","0,19","0,20","0,40","0,19","0,40"
467,Jonny,Castro, ESP,ZG,Wolves,Premier League,29,1994,18,14,1.261,14.0,1,0,1,1,0,0,3,1,0.3,0.3,1.0,"1,3",24,70,46,"0,07","0,00","0,07","0,07","0,07","0,02","0,07","0,10","0,02","0,10"
468,Gaetano,Castrovilli, ITA,LT,Fiorentina, Serie A,26,1997,13,5,539,6.0,1,0,1,1,0,0,3,0,0.8,0.8,0.5,"1,3",9,11,13,"0,17","0,00","0,17","0,17","0,17","0,14","0,08","0,22","0,14","0,22"
469,Danilo,Cataldi, ITA,LT,Lazio, Serie A,28,1994,28,26,1.903,21.1,0,1,1,0,0,0,5,0,0.2,0.2,1.1,"1,3",8,82,14,"0,00","0,05","0,05","0,00","0,05","0,01","0,05","0,06","0,01","0,06"
470,Yoann,Cathline, FRA,"AT,LT",Lorient, Ligue 1,20,2002,21,11,1.075,11.9,1,1,2,1,0,0,0,0,1.5,1.5,0.7,"2,1",45,29,104,"0,08","0,08","0,17","0,08","0,17","0,12","0,06","0,18","0,12","0,18"
471,Maximiliano,Caufriez, BEL,ZG,Clermont Foot, Ligue 1,26,1997,22,21,1.862,20.7,0,0,0,0,0,0,9,1,0.4,0.4,0.0,"0,4",25,78,9,"0,00","0,00","0,00","0,00","0,00","0,02","0,00","0,02","0,02","0,02"
